	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
Morula_6	Cow	Morula	5.901836325438855	4.003805073565025	-0.44622391497278197	-0.5383523606292738	-1.2484380577339542	
Morula_7	Cow	Morula	5.9093741437158736	4.010130277215148	-0.6860925626091895	-0.5876399103839065	-2.005600625678842	
Morula_8	Cow	Morula	6.153407503230433	3.9920230277638504	-0.49509285073652354	-0.41756019136112865	-1.3829342817603183	
Morula_9	Cow	Morula	6.375500288528584	4.013427127070696	-0.6167064085436064	-0.4394481476097981	-1.7841178405955112	
Oocyte_1	Cow	Oocyte	6.269752207246362	4.050650380863914	-0.009550149261496638	0.034439060249292386	-0.3037800487579487	
Oocyte_10	Cow	Oocyte	6.294734876541245	4.06822297934645	0.018022872567447105	-0.006521808525941676	0.10050564056640403	
Oocyte_11	Cow	Oocyte	6.172581332694529	4.051152522447381	0.024918657624153403	0.007799754059626709	0.26277245109359726	
Oocyte_12	Cow	Oocyte	6.15707156522506	4.043401578910881	0.007513895478125528	-0.018129904712923618	0.15501224079961742	
Oocyte_2	Cow	Oocyte	6.288604879349918	4.05656185185946	0.00471383376413716	-0.05474819577962759	0.05548731410730985	
Oocyte_3	Cow	Oocyte	6.3946682487044475	4.068074489907648	0.020650271814959688	-0.03497580220956408	-0.008033082064413583	
Oocyte_4	Cow	Oocyte	6.440302219518213	4.072396966521762	-0.057152223801767814	-0.05140128693272653	-0.2291151822713658	
Oocyte_5	Cow	Oocyte	6.280457943934539	4.0600175425316	0.11984531705243548	-0.014781944443795977	0.31283373679576354	
Oocyte_6	Cow	Oocyte	6.27528140216538	4.065243501186464	0.08355305763869837	-0.04812062014606359	0.373554930759255	
Oocyte_7	Cow	Oocyte	6.331215665602457	4.060546755126169	0.0785787417212182	0.014181163245847336	0.13601018495516642	
Oocyte_8	Cow	Oocyte	6.261204086328478	4.057323705369284	0.09487414939166913	0.04133945679099826	0.1113600124312425	
Zygote_1	Cow	Zygote	6.28428180734758	4.047158001128309	0.029575224292747348	-0.10561254641447215	0.2782952210538403	
Zygote_10	Cow	Zygote	6.056468814194123	4.0296678026753225	0.11736835992433259	-0.09381098631511992	0.4517021497374763	
Zygote_11	Cow	Zygote	6.2120964729335055	4.022840610876528	-0.06032519009888115	-0.05430105219421839	-0.17274559878576012	
Zygote_12	Cow	Zygote	6.340083044257094	4.038977622332692	0.08425154026109274	-0.03851391069670688	-0.33692910294748124	
Zygote_2	Cow	Zygote	6.179842659552605	4.030559245291156	-0.01078527191984368	-0.1374064120583983	-0.07934027709356634	
Zygote_3	Cow	Zygote	6.259450045786797	4.038977622332692	0.009544883200446871	-0.04177650408966519	0.07190352890836763	
Zygote_4	Cow	Zygote	6.333806048987504	4.036748629172203	0.014620815211228825	-0.20062540442047452	-0.4572063405447191	
Zygote_5	Cow	Zygote	6.410256273638277	4.051808294317092	-0.0025024196678664137	-0.0804323209869999	0.057289273295736756	
Zygote_6	Cow	Zygote	6.29946872693082	4.04083959468534	0.0014805187406668474	-0.053834310920508034	0.10420217282615149	
Zygote_7	Cow	Zygote	6.1873559961091305	4.049838000622583	0.15211635845187868	0.036456145399750076	0.25052635506862886	
Zygote_8	Cow	Zygote	6.228108934566684	4.043283665570575	0.17903720681098956	0.018068219783051218	0.6133556711094856	
Zygote_9	Cow	Zygote	6.139199418977772	4.0429297333431595	0.057915181967333494	-0.07430029338973204	0.03578921202410283	
2-cell_1	Pig	2-cell	6.058769072686249	4.02739038468497	0.24389265893248652	0.11724261759527504	0.6518236148527207	
2-cell_10	Pig	2-cell	6.194536541671968	4.030316305988586	0.16701621374396547	-0.04214918061530069	0.18189508807640586	
2-cell_11	Pig	2-cell	5.643917320342688	4.009365898346244	0.40680481742379976	0.21189585045678644	0.4161298722359016	
