	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
75769	-0.005512305283825186	-0.0023327986273646625	0.0010469126752288543	0.0033797113025935167	Plppr5	neither	0.7348478658753664
207181	-0.00886858105022155	-0.00232147689430453	0.002849566801939827	0.0051710436962443575	Rbms3	neither	0.37053770862302193
382045	0.003128915009176919	-0.0023101736960922177	-0.0017330829718400786	0.0005770907242521391	Adgrg5	neither	-1.2443992936774897
94040	-0.00568270655815414	-0.0023013198310953176	0.0001175115712776772	0.002418831402372995	Clmn	neither	1.0995501241473578
20391	0.0023670772325921053	-0.0022679700908666916	-0.0022479612363906208	2.0008854476070807e-05	Sgca	neither	-1.0494427775214263
12227	0.003519425654750939	-0.0022676371865287133	-0.0007476254955889437	0.0015200116909397697	Btg2	neither	-1.4116908223485491
15939	0.003444933043967898	-0.002250140657848398	0.0021139191295304637	0.004364059787378862	Ier5	neither	-0.7233186698305805
240667	0.003328336853087925	-0.0022440845049196594	-0.0014109760597163805	0.0008331084452032789	Sec31b	neither	-0.6308162165687765
67419	0.008840881596193288	-0.0022339457182600124	-0.0022494069141471766	-1.5461195887164162e-05	Armh4	neither	-0.2675315112537563
76527	0.004890091184490339	-0.0022147909596202807	-0.0020657026177079265	0.00014908834191235424	Il34	neither	-0.883218131368596
15442	0.007972589690845019	-0.002214753448248054	0.0008240687139919866	0.0030388221622400405	Hpse	neither	-0.5021740428622387
213435	-0.004927622991509198	-0.0022140114921536543	0.000989024126895754	0.003203035619049408	Mylk3	neither	0.6765977433138368
240185	-0.016651960019028657	-0.0022081342093445964	0.0015297111184195025	0.003737845327764099	Jcad	neither	0.597453289337796
16011	0.007181563289408188	-0.0022001257032778407	-0.002604043381486633	-0.00040391767820879224	Igfbp5	neither	-0.5815928874801756
110893	0.003621730475803332	-0.0021999964482328667	-0.0006422307799303337	0.0015577656683025331	Slc8a3	neither	-0.36569989680533466
72685	0.0031573871900615505	-0.0021925335696860913	0.0007557374903994699	0.0029482710600855612	Dnajc6	neither	-0.857967499029482
15114	0.007921852277184881	-0.002170649991408429	-0.006246973114176757	-0.004076323122768328	Hap1	neither	-0.4698258868979945
100705	0.011025642126597244	-0.0021577375008906574	-0.0039149309039784785	-0.0017571934030878211	Acacb	neither	-0.349304566502159
237711	0.005922966397506349	-0.002144549255384318	-0.001117666293710474	0.0010268829616738439	Eml6	neither	-0.8073488523473604
228775	-0.0021459013234134978	-0.0021265901135076315	-0.002665663830802859	-0.0005390737172952277	Trib3	neither	2.886072368967162
170711	-0.006388403086572764	-0.0021252135168057817	-0.0028105853298245284	-0.0006853718130187467	Otud7a	neither	0.9823176327366314
238257	0.0046193012286029	-0.002119618878121671	-0.002248617935179908	-0.0001289990570582369	Tmem30b	neither	-0.7866631864756095
231004	-0.004899990325584719	-0.0021105731321899406	-0.002380541116669598	-0.0002699679844796574	Samd11	neither	1.0318317202655587
16776	0.005754176019910757	-0.0021063120309948056	-0.0019411505301796985	0.0001651615008151071	Lama5	neither	-0.8217863231270958
216560	0.004928164177940228	-0.0020921133508094154	0.002258324739673965	0.00435043809048338	Wdpcp	neither	-0.6073782339930391
14027	0.003236165978427282	-0.00208259944892969	-0.0020282161111527634	5.4383337776926517e-05	Evpl	neither	-1.0099142726622046
20350	-0.007302340702887583	-0.002050613851332107	-0.0021136452427126845	-6.303139138057754e-05	Sema3f	neither	0.8588140584013364
77505	-0.003803666044529452	-0.0020330514811339544	-0.0013920222710744373	0.0006410292100595171	Dnhd1	neither	1.7494043498198701
22151	0.004035142885398012	-0.002019728344931359	-0.0014881472630511373	0.0005315810818802215	Tubb2a	neither	-1.2381467404289417
227094	0.007446533360481544	-0.0020192538262229585	-0.003008165149862059	-0.0009889113236391006	Nemp2	neither	-0.31834249638045853
66011	-0.010062805088938337	-0.0020174048306203776	-0.0024111551217138095	-0.0003937502910934319	Ranbp17	neither	0.8158865185093226
71839	0.002296666052963891	-0.002002968510074822	-0.001363628858754853	0.0006393396513199691	Osgin1	neither	-2.1637979870471287
