entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
22695	Zfp36	-0.0150264196498332	0.796184421104216	neither	-0.0045064991831321	-0.0033969116011437	-0.0048570692141427	0.0026891088725908	0.0042486283703995	-0.2362536809191746
20692	Sparc	-0.0087963625981467	0.7940836768579836	neither	-0.0044580935070756	-0.0062705080134355	-0.0023505506068705	-0.0039850374045225	0.0010622916124611	1.1894205509666769
53619	Blcap	0.012614892258853	-0.9025640721881308	neither	-0.004436842226635	-0.0034445074246357	-0.0030874309953342	0.0004136720642276	0.000714903763255	0.3450283975485529
66522	Pgpep1	0.0115780449164405	-0.840010016479929	neither	-0.0044037808447407	-0.0036530759796249	-0.0018799130122194	-0.0083454057248466	-0.0047847871297945	-1.3907181789604917
329941	Col8a2	-0.0045183161788474	1.09246887259617	neither	-0.0043981067926593	-0.001734528961808	-0.0026831282632842	-0.003668619243055	-0.0037160897570447	1.628238795104446
69215	Sat2	-0.0065722881969924	1.6146055126023966	neither	-0.0043903032320178	-0.0052722768057789	-0.0120770042592522	-0.0052650057776089	-0.0067829246663886	2.0285574239958577
13631	Eef2k	0.0044155846831341	-2.4799460998740845	neither	-0.0043240094199304	-0.003624942556804	-0.0041098253556009	-0.0039729320795959	-0.002401138977715	-2.34850663432987
107227	Macrod1	0.011416499864896	-0.5546363201786207	neither	-0.0043106731132351	-0.0112319667117752	-0.0060511532664072	0.0004381511981846	0.0002354645880257	0.4477164424999709
21339	Taf1a	-0.0069370241457776	1.883679872544712	neither	-0.0043005028762758	0.0004005838676726	-0.0030999787254627	-0.0011536425497776	0.0011679276822911	0.7131975441029239
100072	Camta1	0.0068007936569947	-1.5999666929940235	neither	-0.0042966709668352	-0.0017809153659396	-0.003450371130965	-0.0046482948215268	-0.003654651962652	-1.7479994116662323
13032	Ctsc	-0.002722166970166	4.354082266957753	neither	-0.0042737945727838	-0.0063371166586271	-0.006939522927884	-0.0047858629441394	-0.004294781821779	5.134997424027517
71913	Tmem79	-0.0062678211586407	1.57149179432978	neither	-0.0042714328414179	-0.0010165217259452	-0.0072027008636423	-0.0081349888867301	-0.0066145252471861	3.782083417971572
116838	Rims2	0.0082108669325518	-0.8513802348847741	neither	-0.0042360159374635	-0.0031649126042038	-0.0072015493861706	-0.0010465110501511	-0.0016887423644506	-0.1267939508002281
67893	Tmem86a	-0.0037427124031268	1.1713236820818684	neither	-0.0042115357421676	0.001884197111702	-0.002036228721978	-0.0017341716351628	-0.0028337176598711	1.3332939070358916
75568	Capsl	-0.0057397308471646	1.8173775492436184	neither	-0.0041936328229299	-0.0004934426538206	-0.003619973286755	-0.0055688164676886	-0.003579329770298	1.116244449963743
109294	Prex2	-0.0145145839858227	0.9474884431521206	neither	-0.0041228135542983	-0.0027806420469706	-0.0064382161255944	0.0063224206584114	0.0025851847779268	-0.9539926217506784
242202	Pde5a	-0.01258969765732	1.0194920628234194	neither	-0.0040676318122419	-0.007038276048467	0.0062983922875391	0.0040108480298526	0.0025450195656944	-0.3218800714415526
50794	Klf13	-0.0101896636029432	1.1520601691721968	neither	-0.0040083432380173	-6.045895960429482e-05	-0.0006024213858999	-0.0047942980953455	-0.0022692321905644	1.587127037668506
74182	Gpcpd1	-0.0188876792587953	0.8185670067571413	neither	-0.0039720741977061	-0.0006489337961812	-0.0040295373926822	-0.0014109366030284	-0.0026976652384216	0.4231689588634764
14534	Kat2a	-0.0099278063097291	1.1272452158716793	neither	-0.0039608519615405	0.0012953198929038	-0.0014413778785313	-0.0041340594061557	-0.0026850937106728	1.527440346521184
170737	Znrf1	-0.0061227082984601	1.288340482384268	neither	-0.0039091597476148	-0.0006844657406774	-0.0035950151583269	-0.0003949163430932	0.0001990696825626	0.6010796413151112
59126	Nek6	-0.010257811255748	0.4523049557202886	neither	-0.0038947588402535	-0.0026779564730605	0.0007351906824971	-0.0019864138913915	0.0002073834878241	0.2662050739921733
76884	Cyfip2	0.0051735112695876	-1.803018007233896	neither	-0.0038615675160756	-0.0035109364965449	-0.0040982858272979	-0.003985954816611	-0.0023417723735573	-1.9343751325385228
21334	Tac2	0.0035245664890807	-2.6935116414796307	maternal	-0.0037505113399977	-0.0028232550787602	-0.0030125629869482	-0.002823594372539	-0.0008126478445906	-1.5637685197421154
70350	Basp1	-0.0051854278735059	1.1078505967825725	neither	-0.0037365541847526	-0.0029946821530759	-0.001623417473441	-0.004222222420882	0.0008060789732747	2.119087205016203
19713	Ret	-0.0044845404627094	1.199485475055635	neither	-0.0036885938005882	-0.0031074656496418	-0.001552338816966	-0.0	-0.0	
16525	Kcnk1	0.0040426907725308	-1.8811305067304915	neither	-0.0036748263333348	-0.0024117554545617	-0.0037730012815079	-0.0012268736283632	-0.0019488690494534	-0.4278362286167528
227394	Slco4c1	-0.0031462402300806	3.1810115855582595	neither	-0.0036664647829538	-0.0023936203085109	-0.0037826625545192	-0.0026614180343926	-0.0021263740344068	2.6518583555598547
268465	Eme1	-0.0052766296532564	1.7301959102179778	neither	-0.0036625282875125	0.001693315179905	-0.0048494928481958	-0.0041720099031758	-0.0029919284253268	2.478379529035552
18187	Nrp2	0.0126612032455928	-0.3980487674754923	neither	-0.0036235619841651	0.0047957613656144	-0.00112296024721	-0.0014392455692605	-0.0030589849294422	0.2113635288994089
227094	Nemp2	0.0074465333604815	-0.7084980806654045	neither	-0.0035843231666756	-0.0049056516095052	-0.0060451530624678	-0.0020192538262229	-0.003008165149862	-0.3183424963804585
15368	Hmox1	0.0033464293768657	-1.707739715388791	neither	-0.0035398355425727	-0.0005731625892548	-0.0013034208933754	-0.0015515225470088	-0.0004171237585393	-0.9891614205789444
109660	Ctrl	-0.0034311745780329	1.094532628030948	neither	-0.0035351487129725	-0.0021166766757139	-0.0011470080816304	-0.0007097752535684	0.0007094382782197	1.0543053351359353
67755	Ddx47	-0.0039597444971752	2.4656429303999867	neither	-0.0035139546608918	-2.625575272017609e-05	-0.0026488504443989	-0.0028129498110916	-0.0021654889103783	2.341476809796317
12902	Cr2	-0.0084500804371202	0.7738494387572953	neither	-0.0034717712610671	-0.0041310845024499	-0.0028070292401044	-0.0005196021886	0.0029024391316542	0.2932874453823416
55927	Hes6	0.0059587541706369	-1.340813549273902	neither	-0.0034582633034763	-0.0020430544554634	-0.003337631086352	-0.003383832234046	-0.00206863169396	-1.059219197944504
546611	Klhl33	-0.0101468079141216	0.8400723481172272	neither	-0.0033031050584564	-0.0029409643459153	-0.0004453155253488	-2.645425560227943e-05	-0.0023780373977139	0.3007480883650371
